Companies,exper Tag,farmSegment,solutionFocus,Funding,country,iso_code,continent
AgriProtein,"Fertilizer, AlternativeFeeds",Livestock feeds,Production,122.5,South Africa,710,Africa
Apollo Agriculture,Agriculture,"Multi-faceted,  Apollo Agriculture, credit",Business Planning & Finance,62.21,Kenya,404,Africa
Thrive Agric,,"Crops, crowfunding",Business Planning & Finance,58.51,Nigeria,566,Africa
SunCulture,Solar,"Crops, solar powered irrigatioin",Monitoring & Management,27,Kenya,404,Africa
Aerobotics,"Agriculture, mining","Crops, data analytics",Monitoring & Management,21.64,South Africa,710,Africa
Agricorp International,,"Crops, processing",Production,17.5,Nigeria,566,Africa
EthioChicken,,"Livestock, Poultry ",Production,15,Ethiopia,231,Africa
Farmerline,,"Crops, data analytics",Supply Chain,13.77,Ghana,288,Africa
Inseco,,Livestock and animal feeds,Production,5.3,South Africa,710,Africa
Releaf,,"Crops, packaging",Packing & Supply Chain,5.04,Nigeria,566,Africa
Victory Farms,,Fishing & Seafood,Production,5,Kenya,404,Africa
Farmcrowdy,Agriculture,Multi-faceted,Packing & Supply Chain,3.01,Nigeria,566,Africa
Hello Tractor,GeneralLending&Marketplaces,"Crops, digital tractor sharing",Mechanization service,2.56,Kenya,404,Africa
Pura Organic,,Crops,Packing & Supply Chain,2.5,Uganda,800,Africa
AgroCenta,"Agriculture, trading",Multi-faceted,Distribution & Sales,2.47,Ghana,288,Africa
Green Gold Farms,,Crops,Production,1.6,Ghana,288,Africa
Esoko Networks,,"Crops, data analytics",Business Planning & Finance,1.5,Ghana,288,Africa
Shamba Pride,,Multi-faceted,Agriculture Networking,1.32,Kenya,404,Africa
KHULA!,,Crops,"Agriculture Networking, Business Planning",1.3,South Africa,710,Africa
Yehu Microfinance,,Multi-faceted,Business Planning & Finance,1.13,Kenya,404,Africa
OneOrder,,"Multi-faceted, marketing",Packing & Supply Chain,1,Egypt,818,Africa
Tulaa,"trading, Agriculture",Crops,Business Planning & Finance,0.66,Kenya,404,Africa
Taimba,,"Crops, mobile solution",Agriculture Networking,0.39,Kenya,404,Africa
Pricepally,groupbuying,"Multi-faceted, online store",Distribution & Sales,0.3,Nigeria,566,Africa
Farmshine,"wholesale, eCommerce/Marketplace",Crops,Distribution & Sales,0.25,Kenya,404,Africa
FarmDrive,"Agriculture, altCreditScore, farmLending",data analytics,Business Planning & Finance,0.21,Kenya,404,Africa
iProcure,,Crops,Packing & Supply Chain,0.15,Kenya,404,Africa
Livestock Wealth,Crowdfunding/Investment,Livestock,Business Planning & Finance,0.13,South Africa,710,Africa
Tech4Farmers,,data analytics,Business Planning & Finance,0.12,Uganda,800,Africa
Selina Wamucii,,food marketing  solution,Distribution & Sales,0.1,Kenya,404,Africa
Farmula,,Multi-faceted,Distribution & Sales,0.1,Kenya,404,Africa
Ecodudu,AlternativeProtein,"recycling, animal feeds",Production,0.1,Kenya,404,Africa
