country,Year,pct_belowPov,pct
Algeria,1981,2.514638,0.02514638
Algeria,1982,2.743073,0.02743073
Algeria,1983,2.167922,0.02167922
Algeria,1984,1.807305,0.01807305
Algeria,1985,1.269205,0.01269205
Algeria,1986,1.942159,0.01942159
Algeria,1987,3.612102,0.03612102
Algeria,1988,6.250913,0.06250913
Algeria,1989,4.158295,0.04158295
Algeria,1990,5.051997,0.05051997
Algeria,1991,6.265288,0.06265288
Algeria,1992,5.830436,0.05830436
Algeria,1993,5.956131,0.05956131
Algeria,1994,6.247525,0.06247525
Algeria,1995,5.627692,0.05627692
Algeria,1996,6.26237,0.0626237
Algeria,1997,6.828118,0.06828118
Algeria,1998,6.388433,0.06388433
Algeria,1999,5.770271,0.05770271
Algeria,2000,5.280372,0.05280372
Algeria,2001,4.419084,0.04419084
Algeria,2002,3.578871,0.03578871
Algeria,2003,3.041048,0.03041048
Algeria,2004,2.434288,0.02434288
Algeria,2005,2.032179,0.02032179
Algeria,2006,1.745856,0.01745856
Algeria,2007,1.400125,0.01400125
Algeria,2008,1.063206,0.01063206
Algeria,2009,0.8156431,0.008156431
Algeria,2010,0.6266743,0.006266743
Algeria,2011,0.4702092,0.004702092
Algeria,2012,0.4155152,0.004155152
Algeria,2013,0.3807037,0.003807037
Algeria,2014,0.3558847,0.003558847
Algeria,2015,0.3381789,0.003381789
Algeria,2016,0.3268976,0.003268976
Algeria,2017,0.3293159,0.003293159
Algeria,2018,0.3223906,0.003223906
Algeria,2019,0.3210864,0.003210864
Angola,1981,25.85482,0.2585482
Angola,1982,27.10339,0.2710339
Angola,1983,26.95464,0.2695464
Angola,1984,26.13909,0.2613909
Angola,1985,26.14846,0.2614846
Angola,1986,26.35782,0.2635782
Angola,1987,26.23726,0.2623726
Angola,1988,25.48231,0.2548231
Angola,1989,26.43075,0.2643075
Angola,1990,28.83105,0.2883105
Angola,1991,29.63377,0.2963377
Angola,1992,32.66512,0.3266512
Angola,1993,46.07425,0.4607425
Angola,1994,46.95678,0.4695678
Angola,1995,42.09656,0.4209656
Angola,1996,38.25956,0.3825956
Angola,1997,36.5385,0.365385
Angola,1998,35.89915,0.3589915
Angola,1999,36.36245,0.3636245
Angola,2000,36.54118,0.3654118
Angola,2001,38.33782,0.3833782
Angola,2002,36.64568,0.3664568
Angola,2003,39.54057,0.3954057
Angola,2004,39.37697,0.3937697
Angola,2005,37.25767,0.3725767
Angola,2006,36.28901,0.3628901
Angola,2007,34.39986,0.3439986
Angola,2008,33.23631,0.3323631
